Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,6,0,20.0,3.2,7.3,0.432,0.3,1.7,0.2,2.8,5.7,0.5,0.455,0.8,0.8,1.0,2.0,4.2,6.2,1.7,0.2,0.5,1.5,2.2,7.5
Bam Adebayo,C,26,MIA,10,10,34.7,8.4,16.0,0.525,0.1,0.2,0.5,8.3,15.8,0.525,0.528,6.1,7.6,0.803,2.3,8.2,10.5,3.8,1.4,1.4,2.9,2.3,23.0
Ochai Agbaji,SG,23,UTA,11,3,17.2,1.7,4.4,0.396,0.9,2.6,0.345,0.8,1.7,0.474,0.5,0.2,0.4,0.5,0.8,1.9,2.7,1.0,0.4,0.6,0.6,1.3,4.5
Santi Aldama,PF,23,MEM,5,0,21.0,4.6,9.6,0.479,1.6,4.0,0.4,3.0,5.6,0.536,0.563,0.8,1.8,0.444,0.6,4.0,4.6,1.8,0.4,0.8,1.6,1.2,11.6
Nickeil Alexander-Walker,SG,25,MIN,11,2,19.9,1.9,4.8,0.396,1.0,3.0,0.333,0.9,1.8,0.5,0.5,0.2,0.5,0.333,0.1,1.7,1.8,2.4,0.8,0.8,0.9,1.5,5.0
Grayson Allen,SG,28,PHO,11,11,31.1,4.4,9.2,0.475,2.7,5.5,0.492,1.6,3.6,0.45,0.624,0.9,0.9,1.0,1.1,4.0,5.1,2.8,0.5,0.5,1.8,2.4,12.4
Kyle Anderson,PF,30,MIN,11,0,24.8,3.0,5.5,0.541,0.2,0.9,0.2,2.8,4.6,0.608,0.557,1.2,1.8,0.65,0.7,3.0,3.7,4.0,1.1,0.7,1.9,1.5,7.4
Giannis Antetokounmpo,PF,29,MIL,10,10,32.5,11.0,18.9,0.582,0.6,2.4,0.25,10.4,16.5,0.63,0.598,6.9,10.8,0.639,2.3,7.3,9.6,3.6,0.9,1.3,4.3,2.9,29.5
Cole Anthony,PG,23,ORL,11,0,23.7,4.2,9.8,0.426,1.5,4.0,0.364,2.7,5.8,0.469,0.5,3.6,4.5,0.816,0.9,3.3,4.2,2.7,0.7,0.3,2.3,2.5,13.5
OG Anunoby,SF,26,TOR,8,8,31.4,6.3,12.3,0.51,2.8,7.0,0.393,3.5,5.3,0.667,0.622,1.1,1.9,0.6,0.6,3.4,4.0,1.8,1.3,0.6,1.6,2.3,16.4
Deni Avdija,SF,23,WAS,11,11,26.8,5.1,9.8,0.519,1.3,3.1,0.412,3.8,6.7,0.568,0.583,1.3,1.6,0.778,1.5,4.3,5.7,3.9,1.3,0.3,1.5,2.5,12.7
Marvin Bagley III,C,24,DET,12,4,19.8,4.3,7.3,0.591,0.1,0.4,0.2,4.3,6.9,0.614,0.597,2.7,2.9,0.914,1.8,3.5,5.3,1.3,0.0,0.6,1.5,1.8,11.4
LaMelo Ball,PG,22,CHO,10,10,33.5,7.7,18.4,0.418,3.0,8.2,0.366,4.7,10.2,0.461,0.5,3.8,4.5,0.844,1.9,3.5,5.4,8.6,1.6,0.3,4.0,4.0,22.2
Paolo Banchero,PF,21,ORL,11,11,33.9,6.4,14.0,0.455,1.3,3.2,0.4,5.1,10.8,0.471,0.5,4.7,7.2,0.658,1.4,5.6,7.0,4.9,1.5,0.4,3.3,2.4,18.7
Desmond Bane,SG,25,MEM,11,11,34.7,9.4,20.5,0.456,3.4,9.5,0.352,6.0,11.0,0.545,0.538,3.4,4.0,0.841,0.6,3.8,4.5,4.5,1.5,0.9,2.6,3.0,25.5
Dalano Banton,PG,24,BOS,5,0,7.2,1.2,2.6,0.462,0.0,0.6,0.0,1.2,2.0,0.6,0.462,0.6,0.6,1.0,0.8,1.4,2.2,0.4,0.4,0.0,0.2,1.0,3.0
Harrison Barnes,PF,31,SAC,10,10,30.9,3.9,8.1,0.481,1.8,4.5,0.4,2.1,3.6,0.583,0.593,1.8,2.3,0.783,0.7,2.2,2.9,1.3,0.8,0.1,0.7,1.1,11.4
Scottie Barnes,SG,22,TOR,11,11,35.7,7.9,16.6,0.475,1.9,5.1,0.375,6.0,11.5,0.52,0.533,3.2,4.2,0.761,3.0,6.6,9.6,5.7,1.7,1.6,2.5,2.4,20.9
RJ Barrett,SG,23,NYK,7,7,31.1,7.9,16.1,0.487,2.9,5.7,0.5,5.0,10.4,0.479,0.575,4.0,4.7,0.848,0.6,2.9,3.4,3.1,0.6,0.3,2.1,1.1,22.6
Charles Bassey,C,23,SAS,11,0,12.1,1.8,2.5,0.741,0.0,0.1,0.0,1.8,2.4,0.769,0.741,0.2,0.3,0.667,1.4,2.6,4.0,1.0,0.7,0.5,0.5,1.5,3.8
Emoni Bates,SF,20,CLE,4,0,8.0,0.8,2.3,0.333,0.5,1.5,0.333,0.3,0.8,0.333,0.444,0.3,0.5,0.5,0.3,1.5,1.8,0.3,0.0,0.3,0.3,0.3,2.3
Keita Bates-Diop,SF,28,PHO,8,4,21.0,2.4,5.4,0.442,0.8,2.3,0.333,1.6,3.1,0.52,0.512,0.6,1.1,0.556,1.3,2.8,4.0,1.3,0.5,0.8,0.1,1.0,6.1
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,0.391,1.7,5.0,0.333,4.3,10.3,0.419,0.446,3.7,5.3,0.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,11,11,25.6,3.6,7.4,0.494,2.5,5.5,0.467,1.1,1.9,0.571,0.667,0.5,0.8,0.556,0.5,3.2,3.6,1.3,1.0,0.0,0.7,2.1,10.3
